iter	Passed	Remaining
402	12786	18941
403	12825	18920
404	12856	18888
405	12889	18857
406	12921	18826
407	12952	18794
408	12987	18766
409	13019	18735
410	13050	18702
411	13081	18669
412	13114	18640
413	13147	18609
414	13177	18576
415	13210	18545
416	13244	18517
417	13277	18486
418	13309	18455
419	13342	18425
420	13374	18393
421	13405	18361
422	13437	18329
423	13471	18300
424	13511	18279
425	13566	18279
426	13599	18250
427	13632	18218
428	13665	18188
429	13698	18158
430	13729	18125
431	13765	18099
432	13798	18069
433	13831	18038
434	13863	18006
435	13896	17976
436	13929	17945
437	13960	17912
438	13991	17879
439	14028	17854
440	14060	17822
441	14090	17788
442	14122	17756
443	14154	17725
444	14185	17692
445	14217	17660
446	14250	17629
447	14287	17604
448	14319	17572
449	14351	17541
450	14383	17509
451	14417	17479
452	14449	17447
453	14480	17414
454	14517	17388
455	14552	17360
456	14583	17327
457	14615	17296
458	14645	17262
459	14709	17267
460	14763	17261
461	14810	17246
462	14846	17219
463	14881	17191
464	14917	17163
465	14952	17134
466	14991	17109
467	15029	17084
468	15067	17059
469	15108	17037
470	15150	17015
471	15186	16988
472	15233	16972
473	15266	16941
474	15302	16913
475	15339	16886
476	15371	16854
477	15404	16822
478	15438	16792
479	15469	16758
480	15501	16726
481	15533	16693
482	15568	16664
483	15600	16632
484	15634	16601
485	15668	16571
486	15702	16541
487	15737	16510
488	15769	16479
489	15804	16449
490	15833	16413
491	15868	16384
492	15900	16352
493	15933	16320
494	15962	16284
495	15993	16251
496	16028	16221
497	16063	16192
498	16098	16162
499	16130	16130
500	16163	16098
501	16202	16073
502	16234	16040
503	16268	16010
504	16302	15979
505	16338	15951
506	16375	15923
507	16415	15898
508	16452	15871
509	16490	15843
510	16530	15818
511	16565	15788
512	16604	15762
513	16641	15734
514	16680	15708
515	16716	15679
516	16752	15651
517	16788	15622
518	16829	15596
519	16866	15568
520	16903	15541
521	16942	15514
522	16981	15487
523	17019	15460
524	17063	15438
525	17097	15407
526	17134	15379
527	17175	15354
528	17213	15326
529	17249	15296
530	17283	15265
531	17320	15236
532	17359	15210
533	17396	15180
534	17435	15153
535	17473	15126
536	17511	15098
537	17556	15076
538	17601	15054
539	17638	15025
540	17678	14999
541	17715	14970
542	17752	14940
543	17794	14915
544	17838	14893
545	17879	14866
546	17920	14840
547	17954	14809
548	17990	14779
549	18024	14747
550	18061	14718
551	18100	14689
552	18138	14661
553	18174	14631
554	18212	14602
555	18252	14575
556	18287	14544
557	18323	14514
558	18367	14490
559	18402	14459
560	18438	14428
561	18471	14396
562	18505	14363
563	18543	14335
564	18581	14305
565	18619	14277
566	18662	14252
567	18702	14224
568	18740	14195
569	18773	14162
570	18807	14130
571	18843	14099
572	18883	14071
573	18920	14041
574	18957	14011
575	18997	13984
576	19035	13954
577	19072	13924
578	19108	13894
579	19143	13862
580	19178	13831
581	19218	13803
582	19253	13771
583	19288	13739
584	19329	13712
585	19373	13687
586	19410	13656
587	19449	13627
